distancia	batimetria	borde	dem	topo_base
0000.00	2923.347			
0001.00	2923.342			
0002.00	2923.354			
0003.00	2923.362			
0004.00	2923.369			
0005.00	2923.379			
0006.00	2923.388			
0007.00	2923.399			
0008.00	2923.410			
0009.00	2923.425			
0010.00	2923.431			
0011.00	2923.440			
0012.00	2923.455			
0013.00	2923.454			
0014.00	2923.450			
0015.00	2923.454			
0016.00	2923.457			
0017.00	2923.461			
0018.00	2923.462			
0019.00	2923.464			
0020.00	2923.479			
0021.00	2923.473			
0022.00	2923.479			
0023.00	2923.490			
0024.00	2923.492			
0025.00	2923.493			
0026.00	2923.497			
0027.00	2923.501			
0028.00	2923.505			
0029.00	2923.509			
0030.00	2923.513			
0031.00	2923.516			
0032.00	2923.522			
0033.00	2923.526			
0034.00	2923.528			
0035.00	2923.531			
0036.00	2923.534			
0037.00	2923.537			
0038.00	2923.540			
0039.00	2923.543			
0040.00	2923.544			
0041.00	2923.547			
0042.00	2923.549			
0043.00	2923.549			
0044.00	2923.552			
0045.00	2923.551			
0046.00	2923.556			
0047.00	2923.565			
0048.00	2923.570			
0049.00	2923.574			
0050.00	2923.579			
0051.00	2923.584			
0052.00	2923.589			
0053.00	2923.594			
0054.00	2923.596			
0055.00	2923.598			
0056.00	2923.601			
0057.00	2923.603			
0058.00	2923.606			
0059.00	2923.608			
0060.00	2923.610			
0061.00	2923.614			
0062.00	2923.618			
0063.00	2923.617			
0064.00	2923.620			
0065.00	2923.626			
0066.00	2923.629			
0067.00	2923.632			
0068.00	2923.633			
0069.00	2923.633			
0070.00	2923.634			
0071.00	2923.639			
0072.00	2923.640			
0073.00	2923.640			
0074.00	2923.640			
0075.00	2923.642			
0076.00	2923.646			
0077.00	2923.651			
0078.00	2923.655			
0079.00	2923.647			
0080.00	2923.653			
0081.00	2923.656			
0082.00	2923.656			
0083.00	2923.657			
0084.00	2923.657			
0085.00	2923.660			
0086.00	2923.664			
0087.00	2923.669			
0088.00	2923.674			
0089.00	2923.678			
0090.00	2923.683			
0091.00	2923.687			
0092.00	2923.692			
0093.00	2923.701			
0094.00	2923.704			
0095.00	2923.706			
0096.00	2923.709			
0097.00	2923.714			
0098.00	2923.724			
0099.00	2923.731			
0100.00	2923.731			
0101.00	2923.733			
0102.00	2923.736			
0103.00	2923.740			
0104.00	2923.743			
0105.00	2923.747			
0106.00	2923.749			
0107.00	2923.751			
0108.00	2923.753			
0109.00	2923.758			
0110.00	2923.758			
0111.00	2923.756			
0112.00	2923.761			
0113.00	2923.766			
0114.00	2923.773			
0115.00	2923.776			
0116.00	2923.766			
0117.00	2923.771			
0118.00	2923.776			
0119.00	2923.780			
0120.00	2923.780			
0121.00	2923.784			
0122.00	2923.787			
0123.00	2923.790			
0124.00	2923.793			
0125.00	2923.792			
0126.00	2923.791			
0127.00	2923.795			
0128.00	2923.798			
0129.00	2923.796			
0130.00	2923.794			
0131.00	2923.792			
0132.00	2923.797			
0133.00	2923.802			
0134.00	2923.807			
0135.00	2923.811			
0136.00	2923.816			
0137.00	2923.821			
0138.00	2923.827			
0139.00	2923.841			
0140.00	2923.845			
0141.00	2923.848			
0142.00	2923.850			
0143.00	2923.852			
0144.00	2923.854			
0145.00	2923.856			
0146.00	2923.858			
0147.00	2923.860			
0148.00	2923.853			
0149.00	2923.852			
0150.00	2923.853			
0151.00	2923.856			
0152.00	2923.866			
0153.00	2923.877			
0154.00	2923.879			
0155.00	2923.881			
0156.00	2923.883			
0157.00	2923.885			
0158.00	2923.887			
0159.00	2923.897			
0160.00	2923.918			
0161.00	2923.925			
0162.00	2923.932			
0163.00	2923.938			
0164.00	2923.934			
0165.00	2923.933			
0166.00	2923.933			
0167.00	2923.932			
0168.00	2923.933			
0169.00	2923.936			
0170.00	2923.949			
0171.00	2923.952			
0172.00	2923.955			
0173.00	2923.958			
0174.00	2923.961			
0175.00	2923.970			
0176.00	2923.966			
0177.00	2923.968			
0178.00	2923.969			
0179.00	2923.971			
0180.00	2923.979			
0181.00	2923.995			
0182.00	2924.015			
0183.00	2924.022			
0184.00	2924.030			
0185.00	2924.037			
0186.00	2924.046			
0187.00	2924.048			
0188.00	2924.056			
0189.00	2924.058			
0190.00	2924.060			
0191.00	2924.059			
0192.00	2924.043			
0193.00	2924.039			
0194.00	2924.042			
0195.00	2924.037			
0196.00	2924.048			
0197.00	2924.049			
0198.00	2924.052			
0199.00	2924.055			
0200.00	2924.057			
0201.00	2924.060			
0202.00	2924.059			
0203.00	2924.060			
0204.00	2924.062			
0205.00	2924.065			
0206.00	2924.068			
0207.00	2924.067			
0208.00	2924.058			
0209.00	2924.068			
0210.00	2924.070			
0211.00	2924.101			
0212.00	2924.104			
0213.00	2924.118			
0214.00	2924.103			
0215.00	2924.089			
0216.00	2924.075			
0217.00	2924.077			
0218.00	2924.087			
0219.00	2924.090			
0220.00	2924.087			
0221.00	2924.081			
0222.00	2924.082			
0223.00	2924.094			
0224.00	2924.104			
0225.00	2924.105			
0226.00	2924.106			
0227.00	2924.108			
0228.00	2924.098			
0229.00	2924.097			
0230.00	2924.102			
0231.00	2924.111			
0232.00	2924.119			
0233.00	2924.127			
0234.00	2924.135			
0235.00	2924.143			
0236.00	2924.151			
0237.00	2924.138			
0238.00	2924.122			
0239.00	2924.122			
0240.00	2924.129			
0241.00	2924.137			
0242.00	2924.144			
0243.00	2924.148			
0244.00	2924.153			
0245.00	2924.154			
0246.00	2924.163			
0247.00	2924.160			
0248.00	2924.142			
0249.00	2924.145			
0250.00	2924.150			
0251.00	2924.156			
0252.00	2924.163			
0253.00	2924.169			
0254.00	2924.176			
0255.00	2924.169			
0256.00	2924.169			
0257.00	2924.174			
0258.00	2924.177			
0259.00	2924.177			
0260.00	2924.176			
0261.00	2924.174			
0262.00	2924.173			
0263.00	2924.171			
0264.00	2924.170			
0265.00	2924.168			
0266.00	2924.167			
0267.00	2924.165			
0268.00	2924.164			
0269.00	2924.162			
0270.00	2924.163			
0271.00	2924.163			
0272.00	2924.165			
0273.00	2924.170			
0274.00	2924.173			
0275.00	2924.174			
0276.00	2924.174			
0277.00	2924.177			
0278.00	2924.181			
0279.00	2924.195			
0280.00	2924.198			
0281.00	2924.201			
0282.00	2924.205			
0283.00	2924.208			
0284.00	2924.213			
0285.00	2924.233			
0286.00	2924.261			
0287.00	2924.237			
0288.00	2924.223			
0289.00	2924.229			
0290.00	2924.235			
0291.00	2924.237			
0292.00	2924.236			
0293.00	2924.232			
0294.00	2924.229			
0295.00	2924.231			
0296.00	2924.234			
0297.00	2924.238			
0298.00	2924.241			
0299.00	2924.244			
0300.00	2924.248			
0301.00	2924.252			
0302.00	2924.262			
0303.00	2924.267			
0304.00	2924.266			
0305.00	2924.263			
0306.00	2924.260			
0307.00	2924.261			
0308.00	2924.270			
0309.00	2924.280			
0310.00	2924.280			
0311.00	2924.280			
0312.00	2924.296			
0313.00	2924.280			
0314.00	2924.282			
0315.00	2924.286			
0316.00	2924.291			
0317.00	2924.306			
0318.00	2924.351			
0319.00	2924.391			
0320.00	2924.350			
0321.00	2924.314			
0322.00	2924.320			
0323.00	2924.325			
0324.00	2924.337			
0325.00	2924.352			
0326.00	2924.368			
0327.00	2924.373			
0328.00	2924.375			
0329.00	2924.377			
0330.00	2924.378			
0331.00	2924.380			
0332.00	2924.381			
0333.00	2924.383			
0334.00	2924.385			
0335.00	2924.386			
0336.00	2924.386			
0337.00	2924.387			
0338.00	2924.387			
0339.00	2924.388			
0340.00	2924.388			
0341.00	2924.389			
0342.00	2924.389			
0343.00	2924.443			
0344.00	2924.446			
0345.00	2924.452			
0346.00	2924.456			
0347.00	2924.459			
0348.00	2924.446			
0349.00	2924.450			
0350.00	2924.457			
0351.00	2924.470			
0352.00	2924.454			
0353.00	2924.462			
0354.00	2924.463			
0355.00	2924.464			
0356.00	2924.468			
0357.00	2924.469			
0358.00	2924.469			
0359.00	2924.506			
0360.00	2924.532			
0361.00	2924.535			
0362.00	2924.539			
0363.00	2924.543			
0364.00	2924.550			
0365.00	2924.557			
0366.00	2924.565			
0367.00	2924.572			
0368.00	2924.579			
0369.00	2924.586			
0370.00	2924.520			
0371.00	2924.523			
0372.00	2924.525			
0373.00	2924.529			
0374.00	2924.535			
0375.00	2924.543			
0376.00	2924.553			
0377.00	2924.562			
0378.00	2924.565			
0379.00	2924.560			
0380.00	2924.557			
0381.00	2924.553			
0382.00	2924.553			
0383.00	2924.566			
0384.00	2924.571			
0385.00	2924.575			
0386.00	2924.580			
0387.00	2924.585			
0388.00	2924.590			
0389.00	2924.596			
0390.00	2924.601			
0391.00	2924.606			
0392.00	2924.611			
0393.00	2924.616			
0394.00	2924.624			
0395.00	2924.625			
0396.00	2924.626			
0397.00	2924.628			
0398.00	2924.633			
0399.00	2924.637			
0400.00	2924.642			
0401.00	2924.646			
0402.00	2924.650			
0403.00	2924.656			
0404.00	2924.661			
0405.00	2924.665			
0406.00	2924.673			
0407.00	2924.685			
0408.00	2924.688			
0409.00	2924.697			
0410.00	2924.698			
0411.00	2924.700			
0412.00	2924.703			
0413.00	2924.706			
0414.00	2924.708			
0415.00	2924.713			
0416.00	2924.720			
0417.00	2924.731			
0418.00	2924.755			
0419.00	2924.756			
0420.00	2924.757			
0421.00	2924.760			
0422.00	2924.763			
0423.00	2924.765			
0424.00	2924.769			
0425.00	2924.773			
0426.00	2924.775			
0427.00	2924.781			
0428.00	2924.788			
0429.00	2924.796			
0430.00	2924.801			
0431.00	2924.804			
0432.00	2924.804			
0433.00	2924.809			
0434.00	2924.815			
0435.00	2924.820			
0436.00	2924.823			
0437.00	2924.826			
0438.00	2924.834			
0439.00	2924.839			
0440.00	2924.845			
0441.00	2924.856			
0442.00	2924.869			
0443.00	2924.868			
0444.00	2924.864			
0445.00	2924.870			
0446.00	2924.873			
0447.00	2924.898			
0448.00	2924.908			
0449.00	2924.918			
0450.00	2924.923			
0451.00	2924.922			
0452.00	2924.920			
0453.00	2924.918			
0454.00	2924.919			
0455.00	2924.917			
0456.00	2924.918			
0457.00	2924.919			
0458.00	2924.923			
0459.00	2924.928			
0460.00	2924.941			
0461.00	2924.963			
0462.00	2924.984			
0463.00	2924.993			
0464.00	2924.987			
0465.00	2924.982			
0466.00	2924.981			
0467.00	2924.985			
0468.00	2924.990			
0469.00	2924.994			
0470.00	2924.998			
0471.00	2925.005			
0472.00	2925.017			
0473.00	2925.029			
0474.00	2925.040			
0475.00	2925.046			
0476.00	2925.052			
0477.00	2925.061			
0478.00	2925.064			
0479.00	2925.068			
0480.00	2925.071			
0481.00	2925.074			
0482.00	2925.076			
0483.00	2925.079			
0484.00	2925.082			
0485.00	2925.085			
0486.00	2925.088			
0487.00	2925.091			
0488.00	2925.094			
0489.00	2925.098			
0490.00	2925.101			
0491.00	2925.104			
0492.00	2925.107			
0493.00	2925.110			
0494.00	2925.113			
0495.00	2925.118			
0496.00	2925.129			
0497.00	2925.148			
0498.00	2925.152			
0499.00	2925.151			
0500.00	2925.167			
0501.00	2925.188			
0502.00	2925.202			
0503.00	2925.206			
0504.00	2925.207			
0505.00	2925.209			
0506.00	2925.210			
0507.00	2925.211			
0508.00	2925.213			
0509.00	2925.219			
0510.00	2925.229			
0511.00	2925.239			
0512.00	2925.249			
0513.00	2925.259			
0514.00	2925.272			
0515.00	2925.288			
0516.00	2925.295			
0517.00	2925.303			
0518.00	2925.314			
0519.00	2925.320			
0520.00	2925.321			
0521.00	2925.322			
0522.00	2925.324			
0523.00	2925.329			
0524.00	2925.336			
0525.00	2925.339			
0526.00	2925.343			
0527.00	2925.347			
0528.00	2925.353			
0529.00	2925.356			
0530.00	2925.360			
0531.00	2925.362			
0532.00	2925.369			
0533.00	2925.375			
0534.00	2925.378			
0535.00	2925.381			
0536.00	2925.383			
0537.00	2925.386			
0538.00	2925.386			
0539.00	2925.388			
0540.00	2925.395			
0541.00	2925.405			
0542.00	2925.417			
0543.00	2925.420			
0544.00	2925.423			
0545.00	2925.424			
0546.00	2925.422			
0547.00	2925.422			
0548.00	2925.434			
0549.00	2925.450			
0550.00	2925.450			
0551.00	2925.450			
0552.00	2925.454			
0553.00	2925.463			
0554.00	2925.470			
0555.00	2925.461			
0556.00	2925.457			
0557.00	2925.456			
0558.00	2925.455			
0559.00	2925.469			
0560.00	2925.479			
0561.00	2925.481			
0562.00	2925.481			
0563.00	2925.482			
0564.00	2925.482			
0565.00	2925.486			
