distancia	batimetria	borde	dem	topo_base
0000.00	2923.347			
0001.00	2923.325			
0002.00	2923.325			
0003.00	2923.307			
0004.00	2923.308			
0005.00	2923.310			
0006.00	2923.312			
0007.00	2923.314			
0008.00	2923.315			
0009.00	2923.296			
0010.00	2923.290			
0011.00	2923.287			
0012.00	2923.284			
0013.00	2923.290			
0014.00	2923.300			
0015.00	2923.308			
0016.00	2923.316			
0017.00	2923.318			
0018.00	2923.338			
0019.00	2923.338			
0020.00	2923.338			
0021.00	2923.365			
0022.00	2923.400			
0023.00	2923.400			
0024.00	2923.399			
0025.00	2923.391			
0026.00	2923.387			
0027.00	2923.384			
0028.00	2923.380			
0029.00	2923.375			
0030.00	2923.372			
0031.00	2923.372			
0032.00	2923.376			
0033.00	2923.362			
0034.00	2923.358			
0035.00	2923.354			
0036.00	2923.350			
0037.00	2923.358			
0038.00	2923.369			
0039.00	2923.374			
0040.00	2923.367			
0041.00	2923.361			
0042.00	2923.355			
0043.00	2923.350			
0044.00	2923.345			
0045.00	2923.341			
0046.00	2923.328			
0047.00	2923.315			
0048.00	2923.302			
0049.00	2923.288			
0050.00	2923.275			
0051.00	2923.262			
0052.00	2923.249			
0053.00	2923.237			
0054.00	2923.224			
0055.00	2923.219			
0056.00	2923.218			
0057.00	2923.216			
0058.00	2923.214			
0059.00	2923.212			
0060.00	2923.256			
0061.00	2923.288			
0062.00	2923.287			
0063.00	2923.286			
0064.00	2923.287			
0065.00	2923.282			
0066.00	2923.271			
0067.00	2923.269			
0068.00	2923.267			
0069.00	2923.291			
0070.00	2923.315			
0071.00	2923.338			
0072.00	2923.359			
0073.00	2923.361			
0074.00	2923.362			
0075.00	2923.363			
0076.00	2923.365			
0077.00	2923.366			
0078.00	2923.372			
0079.00	2923.380			
0080.00	2923.388			
0081.00	2923.394			
0082.00	2923.397			
0083.00	2923.399			
0084.00	2923.402			
0085.00	2923.404			
0086.00	2923.406			
0087.00	2923.397			
0088.00	2923.375			
0089.00	2923.378			
0090.00	2923.404			
0091.00	2923.422			
0092.00	2923.436			
0093.00	2923.438			
0094.00	2923.440			
0095.00	2923.442			
0096.00	2923.444			
0097.00	2923.446			
0098.00	2923.448			
0099.00	2923.450			
0100.00	2923.452			
0101.00	2923.454			
0102.00	2923.452			
0103.00	2923.450			
0104.00	2923.448			
0105.00	2923.446			
0106.00	2923.443			
0107.00	2923.441			
0108.00	2923.435			
0109.00	2923.432			
0110.00	2923.430			
0111.00	2923.443			
0112.00	2923.457			
0113.00	2923.464			
0114.00	2923.470			
0115.00	2923.477			
0116.00	2923.483			
0117.00	2923.491			
0118.00	2923.492			
0119.00	2923.493			
0120.00	2923.502			
0121.00	2923.511			
0122.00	2923.520			
0123.00	2923.529			
0124.00	2923.538			
0125.00	2923.547			
0126.00	2923.556			
0127.00	2923.565			
0128.00	2923.574			
0129.00	2923.579			
0130.00	2923.582			
0131.00	2923.586			
0132.00	2923.594			
0133.00	2923.581			
0134.00	2923.565			
0135.00	2923.560			
0136.00	2923.563			
0137.00	2923.567			
0138.00	2923.570			
0139.00	2923.573			
0140.00	2923.576			
0141.00	2923.579			
0142.00	2923.585			
0143.00	2923.573			
0144.00	2923.571			
0145.00	2923.580			
0146.00	2923.584			
0147.00	2923.589			
0148.00	2923.594			
0149.00	2923.598			
0150.00	2923.605			
0151.00	2923.607			
0152.00	2923.605			
0153.00	2923.602			
0154.00	2923.601			
0155.00	2923.599			
0156.00	2923.597			
0157.00	2923.596			
0158.00	2923.594			
0159.00	2923.593			
0160.00	2923.591			
0161.00	2923.589			
0162.00	2923.588			
0163.00	2923.586			
0164.00	2923.584			
0165.00	2923.583			
0166.00	2923.581			
0167.00	2923.579			
0168.00	2923.578			
0169.00	2923.576			
0170.00	2923.574			
0171.00	2923.572			
0172.00	2923.571			
0173.00	2923.569			
0174.00	2923.567			
0175.00	2923.565			
0176.00	2923.564			
0177.00	2923.562			
0178.00	2923.560			
0179.00	2923.558			
0180.00	2923.557			
0181.00	2923.555			
0182.00	2923.553			
0183.00	2923.551			
0184.00	2923.548			
0185.00	2923.545			
0186.00	2923.543			
0187.00	2923.540			
0188.00	2923.537			
0189.00	2923.535			
0190.00	2923.532			
0191.00	2923.529			
0192.00	2923.527			
0193.00	2923.525			
0194.00	2923.523			
0195.00	2923.521			
0196.00	2923.520			
0197.00	2923.520			
0198.00	2923.529			
0199.00	2923.534			
0200.00	2923.538			
0201.00	2923.548			
0202.00	2923.559			
0203.00	2923.570			
0204.00	2923.581			
0205.00	2923.578			
0206.00	2923.578			
0207.00	2923.578			
0208.00	2923.584			
0209.00	2923.589			
0210.00	2923.595			
0211.00	2923.600			
0212.00	2923.605			
0213.00	2923.611			
0214.00	2923.616			
0215.00	2923.622			
0216.00	2923.627			
0217.00	2923.633			
0218.00	2923.638			
0219.00	2923.644			
0220.00	2923.649			
0221.00	2923.654			
0222.00	2923.660			
0223.00	2923.665			
0224.00	2923.671			
0225.00	2923.676			
0226.00	2923.682			
0227.00	2923.687			
0228.00	2923.693			
0229.00	2923.698			
0230.00	2923.703			
0231.00	2923.706			
0232.00	2923.706			
0233.00	2923.693			
0234.00	2923.683			
0235.00	2923.673			
0236.00	2923.668			
0237.00	2923.663			
0238.00	2923.658			
0239.00	2923.653			
0240.00	2923.650			
0241.00	2923.650			
0242.00	2923.646			
0243.00	2923.639			
0244.00	2923.633			
0245.00	2923.626			
0246.00	2923.620			
0247.00	2923.618			
0248.00	2923.620			
0249.00	2923.622			
0250.00	2923.624			
0251.00	2923.633			
0252.00	2923.643			
0253.00	2923.652			
0254.00	2923.653			
0255.00	2923.655			
0256.00	2923.658			
0257.00	2923.670			
0258.00	2923.672			
0259.00	2923.672			
0260.00	2923.672			
0261.00	2923.673			
0262.00	2923.673			
0263.00	2923.673			
0264.00	2923.673			
0265.00	2923.672			
0266.00	2923.672			
0267.00	2923.672			
0268.00	2923.668			
0269.00	2923.665			
0270.00	2923.665			
0271.00	2923.665			
0272.00	2923.665			
0273.00	2923.670			
0274.00	2923.675			
0275.00	2923.683			
0276.00	2923.685			
0277.00	2923.685			
0278.00	2923.694			
0279.00	2923.702			
0280.00	2923.710			
0281.00	2923.714			
0282.00	2923.717			
0283.00	2923.731			
0284.00	2923.740			
0285.00	2923.743			
0286.00	2923.747			
0287.00	2923.752			
0288.00	2923.752			
0289.00	2923.751			
0290.00	2923.750			
0291.00	2923.749			
0292.00	2923.749			
0293.00	2923.748			
0294.00	2923.747			
0295.00	2923.746			
0296.00	2923.741			
0297.00	2923.740			
0298.00	2923.741			
0299.00	2923.745			
0300.00	2923.747			
0301.00	2923.747			
0302.00	2923.746			
0303.00	2923.746			
0304.00	2923.747			
0305.00	2923.747			
0306.00	2923.745			
0307.00	2923.733			
0308.00	2923.729			
0309.00	2923.720			
0310.00	2923.708			
0311.00	2923.715			
0312.00	2923.716			
0313.00	2923.714			
0314.00	2923.712			
0315.00	2923.717			
0316.00	2923.730			
0317.00	2923.744			
0318.00	2923.749			
0319.00	2923.752			
0320.00	2923.761			
0321.00	2923.754			
0322.00	2923.751			
0323.00	2923.753			
0324.00	2923.755			
0325.00	2923.757			
0326.00	2923.757			
0327.00	2923.757			
0328.00	2923.757			
0329.00	2923.757			
0330.00	2923.757			
0331.00	2923.760			
0332.00	2923.785			
0333.00	2923.768			
0334.00	2923.773			
0335.00	2923.780			
0336.00	2923.786			
0337.00	2923.792			
0338.00	2923.798			
0339.00	2923.802			
0340.00	2923.807			
0341.00	2923.811			
0342.00	2923.817			
0343.00	2923.831			
0344.00	2923.852			
0345.00	2923.863			
0346.00	2923.872			
0347.00	2923.877			
0348.00	2923.885			
0349.00	2923.885			
0350.00	2923.892			
0351.00	2923.902			
0352.00	2923.913			
0353.00	2923.923			
0354.00	2923.927			
0355.00	2923.923			
0356.00	2923.923			
0357.00	2923.931			
0358.00	2923.934			
0359.00	2923.941			
0360.00	2923.959			
0361.00	2923.966			
0362.00	2923.965			
0363.00	2923.978			
0364.00	2923.990			
0365.00	2923.999			
0366.00	2924.008			
0367.00	2924.018			
0368.00	2924.024			
0369.00	2924.030			
0370.00	2924.034			
0371.00	2924.046			
0372.00	2924.076			
0373.00	2924.097			
0374.00	2924.101			
0375.00	2924.106			
0376.00	2924.110			
0377.00	2924.114			
0378.00	2924.118			
0379.00	2924.122			
0380.00	2924.126			
0381.00	2924.133			
0382.00	2924.136			
0383.00	2924.141			
0384.00	2924.130			
0385.00	2924.128			
0386.00	2924.140			
0387.00	2924.144			
0388.00	2924.153			
0389.00	2924.166			
0390.00	2924.169			
0391.00	2924.186			
0392.00	2924.189			
0393.00	2924.193			
0394.00	2924.196			
0395.00	2924.199			
0396.00	2924.208			
0397.00	2924.217			
0398.00	2924.225			
0399.00	2924.229			
0400.00	2924.233			
0401.00	2924.244			
0402.00	2924.252			
0403.00	2924.254			
0404.00	2924.257			
0405.00	2924.260			
0406.00	2924.263			
0407.00	2924.265			
0408.00	2924.268			
0409.00	2924.272			
0410.00	2924.294			
0411.00	2924.294			
0412.00	2924.296			
0413.00	2924.291			
0414.00	2924.292			
0415.00	2924.303			
0416.00	2924.323			
0417.00	2924.337			
0418.00	2924.345			
0419.00	2924.345			
0420.00	2924.345			
0421.00	2924.346			
0422.00	2924.360			
0423.00	2924.361			
0424.00	2924.359			
0425.00	2924.373			
0426.00	2924.368			
0427.00	2924.370			
0428.00	2924.373			
0429.00	2924.380			
0430.00	2924.391			
0431.00	2924.403			
0432.00	2924.414			
0433.00	2924.420			
0434.00	2924.424			
0435.00	2924.426			
0436.00	2924.427			
0437.00	2924.429			
0438.00	2924.430			
0439.00	2924.432			
0440.00	2924.438			
0441.00	2924.445			
0442.00	2924.472			
0443.00	2924.476			
0444.00	2924.479			
0445.00	2924.484			
0446.00	2924.490			
0447.00	2924.498			
0448.00	2924.495			
0449.00	2924.492			
0450.00	2924.492			
0451.00	2924.497			
0452.00	2924.505			
0453.00	2924.505			
0454.00	2924.505			
0455.00	2924.505			
0456.00	2924.505			
0457.00	2924.506			
0458.00	2924.510			
0459.00	2924.514			
0460.00	2924.518			
0461.00	2924.523			
0462.00	2924.533			
0463.00	2924.532			
0464.00	2924.537			
0465.00	2924.539			
0466.00	2924.529			
0467.00	2924.520			
0468.00	2924.521			
0469.00	2924.541			
0470.00	2924.543			
0471.00	2924.548			
0472.00	2924.560			
0473.00	2924.567			
0474.00	2924.573			
0475.00	2924.575			
0476.00	2924.592			
0477.00	2924.584			
0478.00	2924.594			
0479.00	2924.598			
0480.00	2924.607			
0481.00	2924.613			
0482.00	2924.617			
0483.00	2924.623			
0484.00	2924.628			
0485.00	2924.633			
0486.00	2924.635			
0487.00	2924.640			
0488.00	2924.646			
0489.00	2924.647			
0490.00	2924.647			
0491.00	2924.647			
0492.00	2924.646			
0493.00	2924.646			
0494.00	2924.646			
0495.00	2924.645			
0496.00	2924.654			
0497.00	2924.667			
0498.00	2924.664			
0499.00	2924.674			
0500.00	2924.682			
0501.00	2924.689			
0502.00	2924.689			
0503.00	2924.692			
0504.00	2924.700			
0505.00	2924.700			
0506.00	2924.698			
0507.00	2924.686			
0508.00	2924.683			
0509.00	2924.684			
0510.00	2924.688			
0511.00	2924.691			
0512.00	2924.695			
0513.00	2924.702			
0514.00	2924.710			
0515.00	2924.728			
0516.00	2924.746			
0517.00	2924.745			
0518.00	2924.754			
0519.00	2924.755			
0520.00	2924.756			
0521.00	2924.757			
0522.00	2924.754			
0523.00	2924.747			
0524.00	2924.749			
0525.00	2924.752			
0526.00	2924.761			
0527.00	2924.769			
0528.00	2924.772			
0529.00	2924.775			
0530.00	2924.777			
0531.00	2924.779			
0532.00	2924.779			
0533.00	2924.779			
0534.00	2924.778			
0535.00	2924.779			
0536.00	2924.785			
0537.00	2924.792			
0538.00	2924.798			
0539.00	2924.804			
0540.00	2924.810			
0541.00	2924.814			
0542.00	2924.819			
0543.00	2924.824			
0544.00	2924.830			
0545.00	2924.836			
0546.00	2924.841			
0547.00	2924.847			
0548.00	2924.864			
0549.00	2924.875			
0550.00	2924.865			
0551.00	2924.860			
0552.00	2924.856			
0553.00	2924.852			
0554.00	2924.852			
0555.00	2924.854			
0556.00	2924.854			
0557.00	2924.870			
0558.00	2924.856			
0559.00	2924.857			
0560.00	2924.866			
0561.00	2924.876			
0562.00	2924.873			
0563.00	2924.866			
0564.00	2924.861			
0565.00	2924.861			
0566.00	2924.873			
0567.00	2924.882			
0568.00	2924.886			
0569.00	2924.880			
0570.00	2924.879			
0571.00	2924.878			
0572.00	2924.878			
0573.00	2924.878			
0574.00	2924.878			
0575.00	2924.886			
0576.00	2924.890			
0577.00	2924.890			
0578.00	2924.906			
0579.00	2924.926			
0580.00	2924.929			
0581.00	2924.923			
0582.00	2924.926			
0583.00	2924.928			
0584.00	2924.926			
0585.00	2924.923			
0586.00	2924.921			
0587.00	2924.918			
0588.00	2924.915			
0589.00	2924.911			
0590.00	2924.907			
