distancia	batimetria	borde	dem	topo_base
0000.00	2923.347			
0001.00	2923.325			
0002.00	2923.326			
0003.00	2923.306			
0004.00	2923.308			
0005.00	2923.309			
0006.00	2923.311			
0007.00	2923.313			
0008.00	2923.313			
0009.00	2923.288			
0010.00	2923.281			
0011.00	2923.277			
0012.00	2923.274			
0013.00	2923.270			
0014.00	2923.274			
0015.00	2923.282			
0016.00	2923.289			
0017.00	2923.296			
0018.00	2923.297			
0019.00	2923.328			
0020.00	2923.328			
0021.00	2923.327			
0022.00	2923.378			
0023.00	2923.426			
0024.00	2923.449			
0025.00	2923.450			
0026.00	2923.450			
0027.00	2923.446			
0028.00	2923.445			
0029.00	2923.444			
0030.00	2923.438			
0031.00	2923.435			
0032.00	2923.436			
0033.00	2923.443			
0034.00	2923.460			
0035.00	2923.449			
0036.00	2923.448			
0037.00	2923.449			
0038.00	2923.461			
0039.00	2923.475			
0040.00	2923.488			
0041.00	2923.501			
0042.00	2923.516			
0043.00	2923.530			
0044.00	2923.529			
0045.00	2923.527			
0046.00	2923.526			
0047.00	2923.525			
0048.00	2923.521			
0049.00	2923.512			
0050.00	2923.504			
0051.00	2923.495			
0052.00	2923.487			
0053.00	2923.479			
0054.00	2923.482			
0055.00	2923.485			
0056.00	2923.499			
0057.00	2923.558			
0058.00	2923.646			
0059.00	2923.755			
0060.00	2923.803			
0061.00	2923.811			
0062.00	2923.835			
0063.00	2923.848			
0064.00	2923.851			
0065.00	2923.842			
0066.00	2923.804			
0067.00	2923.767			
0068.00	2923.741			
0069.00	2923.739			
0070.00	2923.744			
0071.00	2923.773			
0072.00	2923.801			
0073.00	2923.822			
0074.00	2923.830			
0075.00	2923.837			
0076.00	2923.853			
0077.00	2923.875			
0078.00	2923.899			
0079.00	2923.917			
0080.00	2923.930			
0081.00	2923.939			
0082.00	2923.948			
0083.00	2923.932			
0084.00	2923.922			
0085.00	2923.929			
0086.00	2923.952			
0087.00	2923.976			
0088.00	2924.005			
0089.00	2924.045			
0090.00	2924.091			
0091.00	2924.120			
0092.00	2924.241			
0093.00	2924.311			
0094.00	2924.329			
0095.00	2924.341			
0096.00	2924.352			
0097.00	2924.364			
0098.00	2924.372			
0099.00	2924.379			
0100.00	2924.381			
0101.00	2924.377			
0102.00	2924.374			
0103.00	2924.370			
0104.00	2924.366			
0105.00	2924.363			
0106.00	2924.363			
0107.00	2924.376			
0108.00	2924.389			
0109.00	2924.387			
0110.00	2924.403			
0111.00	2924.418			
0112.00	2924.433			
0113.00	2924.448			
0114.00	2924.464			
0115.00	2924.479			
0116.00	2924.494			
0117.00	2924.509			
0118.00	2924.525			
0119.00	2924.540			
0120.00	2924.555			
0121.00	2924.571			
0122.00	2924.586			
0123.00	2924.601			
0124.00	2924.616			
0125.00	2924.632			
0126.00	2924.647			
0127.00	2924.662			
0128.00	2924.677			
0129.00	2924.693			
0130.00	2924.708			
0131.00	2924.723			
0132.00	2924.738			
0133.00	2924.754			
0134.00	2924.769			
0135.00	2924.782			
0136.00	2924.798			
0137.00	2924.824			
0138.00	2924.850			
0139.00	2924.877			
0140.00	2924.902			
0141.00	2924.923			
0142.00	2924.951			
0143.00	2924.979			
0144.00	2925.008			
0145.00	2925.036			
0146.00	2925.064			
0147.00	2925.080			
0148.00	2925.100			
0149.00	2925.118			
0150.00	2925.142			
0151.00	2925.162			
0152.00	2925.194			
0153.00	2925.212			
0154.00	2925.237			
0155.00	2925.267			
0156.00	2925.287			
0157.00	2925.300			
0158.00	2925.314			
0159.00	2925.325			
0160.00	2925.345			
0161.00	2925.360			
0162.00	2925.376			
0163.00	2925.385			
0164.00	2925.395			
0165.00	2925.413			
0166.00	2925.433			
0167.00	2925.453			
0168.00	2925.456			
0169.00	2925.455			
0170.00	2925.461			
0171.00	2925.466			
0172.00	2925.472			
0173.00	2925.477			
0174.00	2925.482			
0175.00	2925.488			
0176.00	2925.493			
0177.00	2925.498			
0178.00	2925.504			
0179.00	2925.509			
0180.00	2925.514			
0181.00	2925.519			
0182.00	2925.525			
0183.00	2925.530			
0184.00	2925.535			
0185.00	2925.541			
0186.00	2925.546			
0187.00	2925.551			
0188.00	2925.557			
0189.00	2925.562			
0190.00	2925.576			
0191.00	2925.588			
0192.00	2925.603			
0193.00	2925.612			
0194.00	2925.627			
0195.00	2925.637			
0196.00	2925.677			
0197.00	2925.722			
0198.00	2925.668			
0199.00	2925.663			
0200.00	2925.668			
0201.00	2925.685			
0202.00	2925.690			
0203.00	2925.692			
0204.00	2925.695			
0205.00	2925.697			
0206.00	2925.699			
0207.00	2925.702			
0208.00	2925.707			
0209.00	2925.723			
0210.00	2925.739			
0211.00	2925.755			
0212.00	2925.775			
0213.00	2925.797			
0214.00	2925.814			
0215.00	2925.829			
0216.00	2925.844			
0217.00	2925.859			
0218.00	2925.871			
0219.00	2925.868			
0220.00	2925.855			
0221.00	2925.841			
0222.00	2925.828			
0223.00	2925.814			
0224.00	2925.801			
0225.00	2925.787			
0226.00	2925.775			
0227.00	2925.771			
0228.00	2925.738			
0229.00	2925.693			
0230.00	2925.677			
0231.00	2925.686			
0232.00	2925.675			
0233.00	2925.653			
0234.00	2925.627			
0235.00	2925.587			
0236.00	2925.556			
0237.00	2925.536			
0238.00	2925.512			
0239.00	2925.493			
0240.00	2925.476			
0241.00	2925.438			
0242.00	2925.400			
0243.00	2925.352			
0244.00	2925.311			
0245.00	2925.296			
0246.00	2925.301			
0247.00	2925.228			
0248.00	2925.226			
0249.00	2925.236			
0250.00	2925.248			
0251.00	2925.261			
0252.00	2925.274			
0253.00	2925.286			
0254.00	2925.299			
0255.00	2925.312			
0256.00	2925.299			
0257.00	2925.254			
0258.00	2925.224			
0259.00	2925.192			
0260.00	2925.159			
0261.00	2925.119			
0262.00	2925.075			
0263.00	2925.034			
0264.00	2925.015			
0265.00	2925.018			
0266.00	2925.021			
0267.00	2925.040			
0268.00	2925.055			
0269.00	2925.068			
0270.00	2925.089			
0271.00	2925.110			
0272.00	2925.124			
0273.00	2925.148			
0274.00	2925.162			
0275.00	2925.169			
0276.00	2925.178			
0277.00	2925.195			
0278.00	2925.202			
0279.00	2925.210			
0280.00	2925.218			
0281.00	2925.227			
0282.00	2925.239			
0283.00	2925.251			
0284.00	2925.263			
0285.00	2925.275			
0286.00	2925.287			
0287.00	2925.299			
0288.00	2925.311			
0289.00	2925.323			
0290.00	2925.335			
0291.00	2925.347			
0292.00	2925.356			
0293.00	2925.370			
0294.00	2925.396			
0295.00	2925.408			
0296.00	2925.420			
0297.00	2925.429			
0298.00	2925.448			
0299.00	2925.471			
0300.00	2925.477			
0301.00	2925.478			
0302.00	2925.480			
0303.00	2925.483			
0304.00	2925.487			
0305.00	2925.494			
0306.00	2925.505			
0307.00	2925.520			
0308.00	2925.534			
0309.00	2925.551			
0310.00	2925.570			
0311.00	2925.594			
0312.00	2925.618			
0313.00	2925.645			
0314.00	2925.672			
0315.00	2925.703			
0316.00	2925.734			
0317.00	2925.765			
0318.00	2925.795			
0319.00	2925.826			
0320.00	2925.857			
0321.00	2925.888			
0322.00	2925.913			
0323.00	2925.943			
0324.00	2925.965			
0325.00	2925.990			
0326.00	2926.016			
0327.00	2926.052			
0328.00	2926.088			
0329.00	2926.117			
0330.00	2926.132			
0331.00	2926.147			
0332.00	2926.162			
0333.00	2926.177			
0334.00	2926.192			
0335.00	2926.210			
0336.00	2926.229			
0337.00	2926.249			
0338.00	2926.275			
0339.00	2926.301			
0340.00	2926.327			
0341.00	2926.356			
0342.00	2926.386			
0343.00	2926.417			
0344.00	2926.451			
0345.00	2926.484			
0346.00	2926.518			
0347.00	2926.554			
0348.00	2926.590			
0349.00	2926.626			
0350.00	2926.662			
0351.00	2926.704			
0351.94	2926.750			
