distancia	batimetria	borde	dem	topo_base
0000.00	2923.347			
0001.00	2923.340			
0002.00	2923.334			
0003.00	2923.335			
0004.00	2923.337			
0005.00	2923.339			
0006.00	2923.339			
0007.00	2923.339			
0008.00	2923.340			
0009.00	2923.341			
0010.00	2923.342			
0011.00	2923.343			
0012.00	2923.344			
0013.00	2923.353			
0014.00	2923.364			
0015.00	2923.375			
0016.00	2923.386			
0017.00	2923.387			
0018.00	2923.387			
0019.00	2923.388			
0020.00	2923.388			
0021.00	2923.388			
0022.00	2923.388			
0023.00	2923.388			
0024.00	2923.388			
0025.00	2923.389			
0026.00	2923.389			
0027.00	2923.389			
0028.00	2923.389			
0029.00	2923.389			
0030.00	2923.389			
0031.00	2923.390			
0032.00	2923.390			
0033.00	2923.390			
0034.00	2923.390			
0035.00	2923.390			
0036.00	2923.391			
0037.00	2923.391			
0038.00	2923.391			
0039.00	2923.391			
0040.00	2923.391			
0041.00	2923.391			
0042.00	2923.392			
0043.00	2923.392			
0044.00	2923.392			
0045.00	2923.392			
0046.00	2923.392			
0047.00	2923.392			
0048.00	2923.393			
0049.00	2923.393			
0050.00	2923.393			
0051.00	2923.393			
0052.00	2923.393			
0053.00	2923.394			
0054.00	2923.394			
0055.00	2923.394			
0056.00	2923.394			
0057.00	2923.394			
0058.00	2923.394			
0059.00	2923.395			
0060.00	2923.395			
0061.00	2923.395			
0062.00	2923.395			
0063.00	2923.395			
0064.00	2923.395			
0065.00	2923.396			
0066.00	2923.398			
0067.00	2923.402			
0068.00	2923.405			
0069.00	2923.408			
0070.00	2923.411			
0071.00	2923.414			
0072.00	2923.417			
0073.00	2923.420			
0074.00	2923.424			
0075.00	2923.427			
0076.00	2923.430			
0077.00	2923.433			
0078.00	2923.436			
0079.00	2923.439			
0080.00	2923.443			
0081.00	2923.446			
0082.00	2923.449			
0083.00	2923.452			
0084.00	2923.455			
0085.00	2923.458			
0086.00	2923.461			
0087.00	2923.465			
0088.00	2923.468			
0089.00	2923.471			
0090.00	2923.474			
0091.00	2923.477			
0092.00	2923.480			
0093.00	2923.483			
0094.00	2923.487			
0095.00	2923.490			
0096.00	2923.493			
0097.00	2923.496			
0098.00	2923.499			
0099.00	2923.502			
0100.00	2923.506			
0101.00	2923.509			
0102.00	2923.512			
0103.00	2923.515			
0104.00	2923.518			
0105.00	2923.521			
0106.00	2923.524			
0107.00	2923.528			
0108.00	2923.531			
0109.00	2923.534			
0110.00	2923.537			
0111.00	2923.540			
0112.00	2923.543			
0113.00	2923.547			
0114.00	2923.550			
0115.00	2923.553			
0116.00	2923.556			
0117.00	2923.559			
0118.00	2923.562			
0119.00	2923.565			
0120.00	2923.569			
0121.00	2923.574			
0122.00	2923.580			
0123.00	2923.599			
0124.00	2923.603			
0125.00	2923.608			
0126.00	2923.612			
0127.00	2923.616			
0128.00	2923.620			
0129.00	2923.625			
0130.00	2923.629			
0131.00	2923.633			
0132.00	2923.638			
0133.00	2923.642			
0134.00	2923.646			
0135.00	2923.650			
0136.00	2923.655			
0137.00	2923.692			
0138.00	2923.694			
0139.00	2923.696			
0140.00	2923.697			
0141.00	2923.699			
0142.00	2923.701			
0143.00	2923.703			
0144.00	2923.704			
0145.00	2923.706			
0146.00	2923.708			
0147.00	2923.710			
0148.00	2923.712			
0149.00	2923.713			
0150.00	2923.715			
0151.00	2923.717			
0152.00	2923.719			
0153.00	2923.721			
0154.00	2923.722			
0155.00	2923.724			
0156.00	2923.726			
0157.00	2923.728			
0158.00	2923.729			
0159.00	2923.731			
0160.00	2923.733			
0161.00	2923.735			
0162.00	2923.737			
0163.00	2923.738			
0164.00	2923.740			
0165.00	2923.742			
0166.00	2923.744			
0167.00	2923.746			
0168.00	2923.747			
0169.00	2923.749			
0170.00	2923.751			
0171.00	2923.753			
0172.00	2923.754			
0173.00	2923.756			
0174.00	2923.758			
0175.00	2923.760			
0176.00	2923.762			
0177.00	2923.764			
0178.00	2923.768			
0179.00	2923.771			
0180.00	2923.773			
0181.00	2923.775			
0182.00	2923.779			
0183.00	2923.795			
0184.00	2923.805			
0185.00	2923.812			
0186.00	2923.820			
0187.00	2923.827			
0188.00	2923.834			
0189.00	2923.841			
0190.00	2923.847			
0191.00	2923.853			
0192.00	2923.858			
0193.00	2923.864			
0194.00	2923.869			
0195.00	2923.875			
0196.00	2923.881			
0197.00	2923.886			
0198.00	2923.892			
0199.00	2923.898			
0200.00	2923.903			
0201.00	2923.909			
0202.00	2923.914			
0203.00	2923.920			
0204.00	2923.926			
0205.00	2923.931			
0206.00	2923.937			
0207.00	2923.942			
0208.00	2923.948			
0209.00	2923.954			
0210.00	2923.959			
0211.00	2923.965			
0212.00	2923.971			
0213.00	2923.976			
0214.00	2923.982			
0215.00	2923.987			
0216.00	2923.993			
0217.00	2923.999			
0218.00	2924.004			
0219.00	2924.010			
0220.00	2924.015			
0221.00	2924.021			
0222.00	2924.027			
0223.00	2924.032			
0224.00	2924.038			
0225.00	2924.044			
0226.00	2924.049			
0227.00	2924.055			
0228.00	2924.060			
0229.00	2924.066			
0230.00	2924.072			
0231.00	2924.077			
0232.00	2924.083			
0233.00	2924.088			
0234.00	2924.094			
0235.00	2924.100			
0236.00	2924.105			
0237.00	2924.111			
0238.00	2924.116			
0239.00	2924.122			
0240.00	2924.128			
0241.00	2924.133			
0242.00	2924.139			
0243.00	2924.145			
0244.00	2924.150			
0245.00	2924.156			
0246.00	2924.161			
0247.00	2924.167			
0248.00	2924.203			
0249.00	2924.207			
0250.00	2924.212			
0251.00	2924.217			
0252.00	2924.223			
0253.00	2924.230			
0254.00	2924.236			
0255.00	2924.242			
0256.00	2924.248			
0257.00	2924.255			
0258.00	2924.261			
0259.00	2924.267			
0260.00	2924.274			
0261.00	2924.280			
0262.00	2924.286			
0263.00	2924.292			
0264.00	2924.299			
0265.00	2924.305			
0266.00	2924.311			
0267.00	2924.317			
0268.00	2924.324			
0269.00	2924.330			
0270.00	2924.336			
0271.00	2924.342			
0272.00	2924.348			
0273.00	2924.352			
0274.00	2924.357			
0275.00	2924.359			
0276.00	2924.358			
0277.00	2924.358			
0278.00	2924.357			
0279.00	2924.358			
0280.00	2924.363			
0281.00	2924.367			
0282.00	2924.372			
0283.00	2924.377			
0284.00	2924.382			
0285.00	2924.387			
0286.00	2924.393			
0287.00	2924.400			
0288.00	2924.406			
0289.00	2924.412			
0290.00	2924.419			
0291.00	2924.425			
0292.00	2924.431			
0293.00	2924.438			
0294.00	2924.444			
0295.00	2924.451			
0296.00	2924.480			
0297.00	2924.483			
0298.00	2924.487			
0299.00	2924.490			
0300.00	2924.494			
0301.00	2924.498			
0302.00	2924.501			
0303.00	2924.505			
0304.00	2924.508			
0305.00	2924.512			
0306.00	2924.516			
0307.00	2924.519			
0308.00	2924.523			
0309.00	2924.526			
0310.00	2924.530			
0311.00	2924.534			
0312.00	2924.537			
0313.00	2924.541			
0314.00	2924.544			
0315.00	2924.548			
0316.00	2924.552			
0317.00	2924.555			
0318.00	2924.558			
0319.00	2924.561			
0320.00	2924.563			
0321.00	2924.566			
0322.00	2924.569			
0323.00	2924.571			
0324.00	2924.574			
0325.00	2924.576			
0326.00	2924.578			
0327.00	2924.581			
0328.00	2924.583			
0329.00	2924.586			
0330.00	2924.590			
0331.00	2924.595			
0332.00	2924.600			
0333.00	2924.606			
0334.00	2924.612			
0335.00	2924.617			
0336.00	2924.623			
0337.00	2924.632			
0338.00	2924.638			
0339.00	2924.641			
0340.00	2924.645			
0341.00	2924.649			
0342.00	2924.652			
0343.00	2924.656			
0344.00	2924.660			
0345.00	2924.663			
0346.00	2924.667			
0347.00	2924.670			
