distancia	batimetria	borde	dem	topo_base
0000.00	2923.347			
0001.00	2923.324			
0002.00	2923.323			
0003.00	2923.317			
0004.00	2923.308			
0005.00	2923.310			
0006.00	2923.312			
0007.00	2923.313			
0008.00	2923.315			
0009.00	2923.317			
0010.00	2923.318			
0011.00	2923.313			
0012.00	2923.308			
0013.00	2923.305			
0014.00	2923.310			
0015.00	2923.320			
0016.00	2923.329			
0017.00	2923.338			
0018.00	2923.343			
0019.00	2923.341			
0020.00	2923.342			
0021.00	2923.342			
0022.00	2923.342			
0023.00	2923.343			
0024.00	2923.343			
0025.00	2923.343			
0026.00	2923.344			
0027.00	2923.344			
0028.00	2923.345			
0029.00	2923.342			
0030.00	2923.341			
0031.00	2923.340			
0032.00	2923.339			
0033.00	2923.339			
0034.00	2923.338			
0035.00	2923.337			
0036.00	2923.336			
0037.00	2923.335			
0038.00	2923.332			
0039.00	2923.327			
0040.00	2923.323			
0041.00	2923.318			
0042.00	2923.314			
0043.00	2923.312			
0044.00	2923.309			
0045.00	2923.306			
0046.00	2923.303			
0047.00	2923.301			
0048.00	2923.298			
0049.00	2923.296			
0050.00	2923.294			
0051.00	2923.291			
0052.00	2923.289			
0053.00	2923.287			
0054.00	2923.285			
0055.00	2923.285			
0056.00	2923.284			
0057.00	2923.283			
0058.00	2923.283			
0059.00	2923.282			
0060.00	2923.281			
0061.00	2923.280			
0062.00	2923.280			
0063.00	2923.279			
0064.00	2923.276			
0065.00	2923.273			
0066.00	2923.278			
0067.00	2923.277			
0068.00	2923.275			
0069.00	2923.271			
0070.00	2923.264			
0071.00	2923.263			
0072.00	2923.261			
0073.00	2923.260			
0074.00	2923.257			
0075.00	2923.252			
0076.00	2923.241			
0077.00	2923.232			
0078.00	2923.222			
0079.00	2923.217			
0080.00	2923.213			
0081.00	2923.210			
0082.00	2923.205			
0083.00	2923.204			
0084.00	2923.211			
0085.00	2923.217			
0086.00	2923.223			
0087.00	2923.229			
0088.00	2923.238			
0089.00	2923.241			
0090.00	2923.242			
0091.00	2923.246			
0092.00	2923.252			
0093.00	2923.258			
0094.00	2923.272			
0095.00	2923.269			
0096.00	2923.268			
0097.00	2923.263			
0098.00	2923.261			
0099.00	2923.254			
0100.00	2923.254			
0101.00	2923.254			
0102.00	2923.256			
0103.00	2923.258			
0104.00	2923.260			
0105.00	2923.261			
0106.00	2923.263			
0107.00	2923.265			
0108.00	2923.271			
0109.00	2923.281			
0110.00	2923.290			
0111.00	2923.285			
0112.00	2923.281			
0113.00	2923.276			
0114.00	2923.272			
0115.00	2923.269			
0116.00	2923.273			
0117.00	2923.276			
0118.00	2923.278			
0119.00	2923.270			
0120.00	2923.265			
0121.00	2923.262			
0122.00	2923.259			
0123.00	2923.256			
0124.00	2923.253			
0125.00	2923.254			
0126.00	2923.254			
0127.00	2923.258			
0128.00	2923.261			
0129.00	2923.265			
0130.00	2923.269			
0131.00	2923.273			
0132.00	2923.277			
0133.00	2923.281			
0134.00	2923.284			
0135.00	2923.288			
0136.00	2923.292			
0137.00	2923.296			
0138.00	2923.300			
0139.00	2923.304			
0140.00	2923.308			
0141.00	2923.311			
0142.00	2923.314			
0143.00	2923.317			
0144.00	2923.319			
0145.00	2923.321			
0146.00	2923.324			
0147.00	2923.326			
0148.00	2923.328			
0149.00	2923.331			
0150.00	2923.333			
0151.00	2923.335			
0152.00	2923.338			
0153.00	2923.340			
0154.00	2923.342			
0155.00	2923.343			
0156.00	2923.343			
0157.00	2923.341			
0158.00	2923.329			
0159.00	2923.331			
0160.00	2923.333			
0161.00	2923.335			
0162.00	2923.336			
0163.00	2923.338			
0164.00	2923.339			
0165.00	2923.342			
0166.00	2923.344			
0167.00	2923.347			
0168.00	2923.349			
0169.00	2923.352			
0170.00	2923.354			
0171.00	2923.357			
0172.00	2923.359			
0173.00	2923.362			
0174.00	2923.364			
0175.00	2923.367			
0176.00	2923.369			
0177.00	2923.372			
0178.00	2923.374			
0179.00	2923.381			
0180.00	2923.391			
0181.00	2923.394			
0182.00	2923.397			
0183.00	2923.401			
0184.00	2923.404			
0185.00	2923.408			
0186.00	2923.411			
0187.00	2923.414			
0188.00	2923.417			
0189.00	2923.411			
0190.00	2923.408			
0191.00	2923.408			
0192.00	2923.409			
0193.00	2923.409			
0194.00	2923.410			
0195.00	2923.410			
0196.00	2923.411			
0197.00	2923.411			
0198.00	2923.412			
0199.00	2923.412			
0200.00	2923.413			
0201.00	2923.413			
0202.00	2923.413			
0203.00	2923.414			
0204.00	2923.414			
