distancia	batimetria	borde	dem	topo_base
0000.00	2923.347			
0001.00	2923.338			
0002.00	2923.343			
0003.00	2923.350			
0004.00	2923.351			
0005.00	2923.356			
0006.00	2923.361			
0007.00	2923.366			
0008.00	2923.371			
0009.00	2923.376			
0010.00	2923.384			
0011.00	2923.394			
0012.00	2923.396			
0013.00	2923.398			
0014.00	2923.403			
0015.00	2923.412			
0016.00	2923.422			
0017.00	2923.415			
0018.00	2923.407			
0019.00	2923.402			
0020.00	2923.394			
0021.00	2923.394			
0022.00	2923.395			
0023.00	2923.395			
0024.00	2923.396			
0025.00	2923.396			
0026.00	2923.397			
0027.00	2923.397			
0028.00	2923.398			
0029.00	2923.398			
0030.00	2923.398			
0031.00	2923.399			
0032.00	2923.399			
0033.00	2923.400			
0034.00	2923.400			
0035.00	2923.401			
0036.00	2923.401			
0037.00	2923.402			
0038.00	2923.402			
0039.00	2923.403			
0040.00	2923.403			
0041.00	2923.404			
0042.00	2923.404			
0043.00	2923.405			
0044.00	2923.405			
0045.00	2923.406			
0046.00	2923.406			
0047.00	2923.407			
0048.00	2923.407			
0049.00	2923.408			
0050.00	2923.408			
0051.00	2923.408			
0052.00	2923.409			
0053.00	2923.409			
0054.00	2923.410			
0055.00	2923.410			
0056.00	2923.411			
0057.00	2923.411			
0058.00	2923.412			
0059.00	2923.412			
0060.00	2923.413			
0061.00	2923.413			
0062.00	2923.414			
0063.00	2923.414			
0064.00	2923.415			
0065.00	2923.415			
0066.00	2923.416			
0067.00	2923.416			
0068.00	2923.417			
0069.00	2923.417			
0070.00	2923.418			
0071.00	2923.418			
0072.00	2923.418			
0073.00	2923.419			
0074.00	2923.419			
0075.00	2923.420			
0076.00	2923.420			
0077.00	2923.423			
0078.00	2923.426			
0079.00	2923.429			
0080.00	2923.432			
0081.00	2923.435			
0082.00	2923.438			
0083.00	2923.441			
0084.00	2923.444			
0085.00	2923.447			
0086.00	2923.450			
0087.00	2923.453			
0088.00	2923.456			
0089.00	2923.459			
0090.00	2923.462			
0091.00	2923.466			
0092.00	2923.469			
0093.00	2923.472			
0094.00	2923.475			
0095.00	2923.478			
0096.00	2923.481			
0097.00	2923.484			
0098.00	2923.487			
0099.00	2923.490			
0100.00	2923.493			
0101.00	2923.496			
0102.00	2923.501			
0103.00	2923.511			
0104.00	2923.515			
0105.00	2923.519			
0106.00	2923.524			
0107.00	2923.528			
0108.00	2923.538			
0109.00	2923.544			
0110.00	2923.550			
0111.00	2923.591			
0112.00	2923.595			
0113.00	2923.599			
0114.00	2923.602			
0115.00	2923.606			
0116.00	2923.610			
0117.00	2923.613			
0118.00	2923.617			
0119.00	2923.620			
0120.00	2923.624			
0121.00	2923.628			
0122.00	2923.631			
0123.00	2923.635			
0124.00	2923.639			
0125.00	2923.642			
0126.00	2923.646			
0127.00	2923.650			
0128.00	2923.653			
0129.00	2923.657			
0130.00	2923.660			
0131.00	2923.664			
0132.00	2923.668			
0133.00	2923.671			
0134.00	2923.675			
0135.00	2923.678			
0136.00	2923.679			
0137.00	2923.681			
0138.00	2923.682			
0139.00	2923.676			
0140.00	2923.660			
0141.00	2923.656			
0142.00	2923.654			
0143.00	2923.657			
0144.00	2923.661			
0145.00	2923.668			
0146.00	2923.676			
0147.00	2923.685			
0148.00	2923.700			
0149.00	2923.726			
0150.00	2923.737			
0151.00	2923.741			
0152.00	2923.745			
0153.00	2923.749			
0154.00	2923.752			
0155.00	2923.752			
0156.00	2923.753			
0157.00	2923.753			
0158.00	2923.754			
0159.00	2923.755			
0160.00	2923.755			
0161.00	2923.756			
0162.00	2923.756			
0163.00	2923.753			
0164.00	2923.751			
0165.00	2923.754			
0166.00	2923.757			
0167.00	2923.760			
0168.00	2923.763			
0169.00	2923.766			
0170.00	2923.769			
0171.00	2923.772			
0172.00	2923.775			
0173.00	2923.778			
0174.00	2923.781			
0175.00	2923.784			
0176.00	2923.787			
0177.00	2923.790			
0178.00	2923.793			
0179.00	2923.796			
0180.00	2923.799			
0181.00	2923.802			
0182.00	2923.805			
0183.00	2923.808			
0184.00	2923.811			
0185.00	2923.814			
0186.00	2923.817			
0187.00	2923.820			
0188.00	2923.823			
0189.00	2923.826			
0190.00	2923.829			
0191.00	2923.832			
0192.00	2923.835			
0193.00	2923.838			
0194.00	2923.841			
0195.00	2923.844			
0196.00	2923.847			
0197.00	2923.850			
0198.00	2923.853			
0199.00	2923.857			
0200.00	2923.861			
0201.00	2923.865			
0202.00	2923.870			
0203.00	2923.874			
0204.00	2923.878			
0205.00	2923.884			
0206.00	2923.890			
0207.00	2923.908			
0208.00	2923.920			
0209.00	2923.917			
0210.00	2923.918			
0211.00	2923.921			
0212.00	2923.925			
0213.00	2923.928			
0214.00	2923.931			
0215.00	2923.935			
0216.00	2923.938			
0217.00	2923.941			
0218.00	2923.945			
0219.00	2923.948			
0220.00	2923.952			
0221.00	2923.955			
0222.00	2923.958			
0223.00	2923.962			
0224.00	2923.965			
0225.00	2923.969			
0226.00	2923.972			
0227.00	2923.975			
0228.00	2923.979			
0229.00	2923.982			
0230.00	2923.985			
0231.00	2923.989			
0232.00	2923.992			
0233.00	2923.996			
0234.00	2923.999			
0235.00	2924.002			
0236.00	2924.006			
0237.00	2924.009			
0238.00	2924.013			
0239.00	2924.016			
0240.00	2924.019			
0241.00	2924.023			
0242.00	2924.026			
0243.00	2924.029			
0244.00	2924.039			
0245.00	2924.069			
0246.00	2924.084			
0247.00	2924.089			
0248.00	2924.093			
0249.00	2924.098			
0250.00	2924.103			
0251.00	2924.107			
0252.00	2924.112			
0253.00	2924.116			
0254.00	2924.121			
0255.00	2924.126			
0256.00	2924.130			
0257.00	2924.135			
0258.00	2924.139			
0259.00	2924.144			
0260.00	2924.147			
0261.00	2924.151			
0262.00	2924.149			
0263.00	2924.146			
0264.00	2924.144			
0265.00	2924.141			
0266.00	2924.139			
0267.00	2924.137			
0268.00	2924.134			
0269.00	2924.137			
0270.00	2924.141			
0271.00	2924.145			
0272.00	2924.149			
0273.00	2924.192			
0274.00	2924.197			
0275.00	2924.202			
0276.00	2924.206			
0277.00	2924.211			
0278.00	2924.211			
0279.00	2924.212			
0280.00	2924.211			
0281.00	2924.194			
0282.00	2924.198			
0283.00	2924.203			
0284.00	2924.214			
0285.00	2924.230			
0286.00	2924.242			
0287.00	2924.251			
0288.00	2924.261			
0289.00	2924.272			
0290.00	2924.283			
0291.00	2924.294			
0292.00	2924.237			
0293.00	2924.242			
0294.00	2924.248			
0295.00	2924.254			
0296.00	2924.259			
0297.00	2924.264			
0298.00	2924.268			
0299.00	2924.272			
0300.00	2924.278			
0301.00	2924.284			
0302.00	2924.289			
0303.00	2924.295			
0304.00	2924.301			
0305.00	2924.305			
0306.00	2924.309			
0307.00	2924.310			
0308.00	2924.312			
0309.00	2924.314			
0310.00	2924.316			
0311.00	2924.318			
0312.00	2924.319			
0313.00	2924.321			
0314.00	2924.326			
0315.00	2924.330			
0316.00	2924.336			
0317.00	2924.342			
0318.00	2924.347			
0319.00	2924.353			
0320.00	2924.358			
0321.00	2924.364			
0322.00	2924.370			
0323.00	2924.376			
0324.00	2924.383			
0325.00	2924.389			
0326.00	2924.395			
0327.00	2924.404			
0328.00	2924.416			
0329.00	2924.424			
0330.00	2924.428			
0331.00	2924.433			
0332.00	2924.437			
0333.00	2924.442			
0334.00	2924.446			
0335.00	2924.450			
0336.00	2924.453			
0337.00	2924.456			
0338.00	2924.459			
0339.00	2924.461			
0340.00	2924.464			
0341.00	2924.461			
0342.00	2924.466			
0343.00	2924.471			
0344.00	2924.476			
0345.00	2924.482			
0346.00	2924.487			
0347.00	2924.492			
0348.00	2924.497			
0349.00	2924.502			
0350.00	2924.508			
0351.00	2924.513			
0352.00	2924.518			
0353.00	2924.523			
0354.00	2924.529			
0355.00	2924.534			
0356.00	2924.539			
0357.00	2924.544			
0358.00	2924.550			
0359.00	2924.555			
0360.00	2924.560			
0361.00	2924.565			
0362.00	2924.571			
0363.00	2924.576			
0364.00	2924.581			
0365.00	2924.586			
0366.00	2924.591			
0367.00	2924.597			
0368.00	2924.602			
0369.00	2924.607			
0370.00	2924.612			
0371.00	2924.618			
0372.00	2924.623			
0373.00	2924.629			
0374.00	2924.634			
0375.00	2924.640			
0376.00	2924.646			
0377.00	2924.651			
0378.00	2924.657			
0379.00	2924.663			
0380.00	2924.668			
0381.00	2924.674			
0382.00	2924.680			
0383.00	2924.685			
0384.00	2924.691			
0385.00	2924.697			
0386.00	2924.702			
0387.00	2924.708			
0388.00	2924.714			
0389.00	2924.719			
0390.00	2924.725			
0391.00	2924.731			
0392.00	2924.736			
0393.00	2924.742			
0394.00	2924.748			
0395.00	2924.753			
0396.00	2924.759			
0397.00	2924.765			
0398.00	2924.770			
0399.00	2924.776			
0400.00	2924.788			
0401.00	2924.812			
0402.00	2924.819			
0403.00	2924.827			
0404.00	2924.835			
0405.00	2924.842			
0406.00	2924.850			
0407.00	2924.858			
0408.00	2924.865			
0409.00	2924.873			
0410.00	2924.881			
0411.00	2924.888			
0412.00	2924.896			
0413.00	2924.904			
0414.00	2924.911			
0415.00	2924.919			
0416.00	2924.927			
0417.00	2924.934			
0418.00	2924.941			
0419.00	2924.947			
0420.00	2924.952			
0421.00	2924.958			
0422.00	2924.964			
0423.00	2924.969			
0424.00	2924.974			
0425.00	2924.979			
0426.00	2924.984			
0427.00	2924.989			
0428.00	2924.993			
0429.00	2924.997			
0430.00	2925.000			
0431.00	2925.004			
0432.00	2925.008			
0433.00	2925.012			
0434.00	2925.017			
0435.00	2925.022			
0436.00	2925.027			
0437.00	2925.032			
0438.00	2925.037			
0439.00	2925.043			
0440.00	2925.048			
0441.00	2925.053			
0442.00	2925.057			
0443.00	2925.062			
0444.00	2925.066			
0445.00	2925.071			
0446.00	2925.075			
0447.00	2925.080			
0448.00	2925.084			
0449.00	2925.088			
0450.00	2925.093			
0451.00	2925.097			
0452.00	2925.103			
0453.00	2925.108			
0454.00	2925.114			
0455.00	2925.119			
0456.00	2925.125			
0457.00	2925.130			
0458.00	2925.137			
0459.00	2925.145			
0460.00	2925.153			
0461.00	2925.161			
0462.00	2925.169			
0463.00	2925.180			
0464.00	2925.190			
0465.00	2925.200			
0466.00	2925.210			
0467.00	2925.217			
0468.00	2925.223			
0469.00	2925.229			
0470.00	2925.235			
0471.00	2925.241			
0472.00	2925.247			
0473.00	2925.253			
0474.00	2925.258			
0475.00	2925.264			
0476.00	2925.270			
0477.00	2925.276			
0478.00	2925.282			
0479.00	2925.288			
0480.00	2925.293			
0481.00	2925.299			
0482.00	2925.305			
0483.00	2925.311			
0484.00	2925.317			
0485.00	2925.323			
0486.00	2925.328			
0487.00	2925.334			
0488.00	2925.340			
0489.00	2925.346			
0490.00	2925.352			
0491.00	2925.358			
0492.00	2925.363			
0493.00	2925.369			
0494.00	2925.375			
0495.00	2925.381			
0496.00	2925.387			
0497.00	2925.393			
0498.00	2925.398			
0499.00	2925.404			
0500.00	2925.410			
0501.00	2925.416			
0502.00	2925.422			
0503.00	2925.428			
0504.00	2925.433			
0505.00	2925.439			
0506.00	2925.445			
0507.00	2925.451			
0508.00	2925.457			
0509.00	2925.463			
0510.00	2925.468			
0511.00	2925.474			
0512.00	2925.480			
0513.00	2925.486			
0514.00	2925.492			
0515.00	2925.498			
0516.00	2925.503			
0517.00	2925.509			
0518.00	2925.515			
0519.00	2925.521			
0520.00	2925.527			
0521.00	2925.533			
0522.00	2925.538			
0523.00	2925.544			
0524.00	2925.550			
0525.00	2925.556			
0526.00	2925.562			
0527.00	2925.568			
0528.00	2925.573			
0529.00	2925.579			
0530.00	2925.585			
0531.00	2925.591			
0532.00	2925.597			
0533.00	2925.603			
0534.00	2925.608			
0535.00	2925.614			
0536.00	2925.620			
0537.00	2925.626			
0538.00	2925.632			
0539.00	2925.638			
0540.00	2925.643			
0541.00	2925.649			
0542.00	2925.655			
0543.00	2925.657			
0544.00	2925.661			
0545.00	2925.664			
0546.00	2925.667			
0547.00	2925.671			
0548.00	2925.674			
0549.00	2925.677			
0550.00	2925.681			
0551.00	2925.684			
0552.00	2925.687			
0553.00	2925.691			
0554.00	2925.694			
0555.00	2925.697			
0556.00	2925.701			
0557.00	2925.704			
0558.00	2925.707			
0559.00	2925.710			
0560.00	2925.713			
0561.00	2925.716			
0562.00	2925.719			
0563.00	2925.722			
0564.00	2925.725			
0565.00	2925.728			
0566.00	2925.731			
0567.00	2925.734			
0568.00	2925.737			
0569.00	2925.740			
0570.00	2925.743			
0571.00	2925.746			
0572.00	2925.749			
0573.00	2925.752			
0574.00	2925.755			
0575.00	2925.758			
0576.00	2925.761			
0577.00	2925.764			
0578.00	2925.767			
0579.00	2925.770			
0580.00	2925.773			
0581.00	2925.776			
0582.00	2925.779			
0583.00	2925.782			
0584.00	2925.785			
0585.00	2925.788			
0586.00	2925.791			
0587.00	2925.794			
0588.00	2925.797			
