distancia	batimetria	borde	dem	topo_base
0000.00	2923.347			
0001.00	2923.342			
0002.00	2923.322			
0003.00	2923.321			
0004.00	2923.320			
0005.00	2923.318			
0006.00	2923.308			
0007.00	2923.309			
0008.00	2923.310			
0009.00	2923.312			
0010.00	2923.313			
0011.00	2923.314			
0012.00	2923.325			
0013.00	2923.328			
0014.00	2923.330			
0015.00	2923.330			
0016.00	2923.329			
0017.00	2923.329			
0018.00	2923.329			
0019.00	2923.329			
0020.00	2923.329			
0021.00	2923.329			
0022.00	2923.329			
0023.00	2923.329			
0024.00	2923.329			
0025.00	2923.328			
0026.00	2923.328			
0027.00	2923.328			
0028.00	2923.328			
0029.00	2923.328			
0030.00	2923.328			
0031.00	2923.328			
0032.00	2923.328			
0033.00	2923.328			
0034.00	2923.327			
0035.00	2923.327			
0036.00	2923.328			
0037.00	2923.331			
0038.00	2923.335			
0039.00	2923.338			
0040.00	2923.341			
0041.00	2923.345			
0042.00	2923.348			
0043.00	2923.351			
0044.00	2923.354			
0045.00	2923.358			
0046.00	2923.361			
0047.00	2923.362			
0048.00	2923.361			
0049.00	2923.361			
0050.00	2923.360			
0051.00	2923.360			
0052.00	2923.359			
0053.00	2923.359			
0054.00	2923.358			
0055.00	2923.358			
0056.00	2923.357			
0057.00	2923.357			
0058.00	2923.356			
0059.00	2923.356			
0060.00	2923.356			
0061.00	2923.355			
0062.00	2923.355			
0063.00	2923.354			
0064.00	2923.354			
0065.00	2923.353			
0066.00	2923.353			
0067.00	2923.352			
0068.00	2923.352			
0069.00	2923.351			
0070.00	2923.351			
0071.00	2923.350			
0072.00	2923.350			
0073.00	2923.349			
0074.00	2923.349			
0075.00	2923.348			
0076.00	2923.348			
0077.00	2923.347			
0078.00	2923.347			
0079.00	2923.346			
0080.00	2923.346			
0081.00	2923.345			
0082.00	2923.345			
0083.00	2923.345			
0084.00	2923.344			
0085.00	2923.344			
0086.00	2923.343			
0087.00	2923.343			
0088.00	2923.342			
0089.00	2923.344			
0090.00	2923.346			
0091.00	2923.348			
0092.00	2923.349			
0093.00	2923.351			
0094.00	2923.353			
0095.00	2923.354			
0096.00	2923.356			
0097.00	2923.358			
0098.00	2923.360			
0099.00	2923.361			
0100.00	2923.363			
0101.00	2923.365			
0102.00	2923.367			
0103.00	2923.368			
0104.00	2923.370			
0105.00	2923.372			
0106.00	2923.373			
0107.00	2923.375			
0108.00	2923.376			
0109.00	2923.377			
0110.00	2923.377			
0111.00	2923.380			
0112.00	2923.384			
0113.00	2923.387			
0114.00	2923.390			
0115.00	2923.393			
0116.00	2923.396			
0117.00	2923.401			
0118.00	2923.408			
0119.00	2923.415			
0120.00	2923.421			
0121.00	2923.429			
0122.00	2923.437			
0123.00	2923.445			
0124.00	2923.450			
0125.00	2923.445			
0126.00	2923.445			
0127.00	2923.445			
0128.00	2923.451			
0129.00	2923.456			
0130.00	2923.463			
0131.00	2923.468			
0132.00	2923.473			
0133.00	2923.479			
0134.00	2923.484			
0135.00	2923.489			
0136.00	2923.494			
0137.00	2923.500			
0138.00	2923.505			
0139.00	2923.509			
0140.00	2923.513			
0141.00	2923.516			
0142.00	2923.520			
0143.00	2923.524			
0144.00	2923.527			
0145.00	2923.531			
0146.00	2923.535			
0147.00	2923.538			
0148.00	2923.527			
0149.00	2923.517			
0150.00	2923.519			
0151.00	2923.521			
0152.00	2923.528			
0153.00	2923.562			
0154.00	2923.570			
0155.00	2923.573			
0156.00	2923.578			
0157.00	2923.587			
0158.00	2923.556			
0159.00	2923.561			
0160.00	2923.566			
0161.00	2923.571			
0162.00	2923.578			
0163.00	2923.584			
0164.00	2923.591			
0165.00	2923.597			
0166.00	2923.603			
0167.00	2923.610			
0168.00	2923.616			
0169.00	2923.622			
0170.00	2923.629			
0171.00	2923.635			
0172.00	2923.642			
0173.00	2923.648			
0174.00	2923.672			
0175.00	2923.672			
0176.00	2923.671			
0177.00	2923.671			
0178.00	2923.670			
0179.00	2923.670			
0180.00	2923.669			
0181.00	2923.669			
0182.00	2923.668			
0183.00	2923.668			
0184.00	2923.667			
0185.00	2923.667			
0186.00	2923.666			
0187.00	2923.666			
0188.00	2923.665			
0189.00	2923.665			
0190.00	2923.664			
0191.00	2923.664			
0192.00	2923.663			
0193.00	2923.663			
0194.00	2923.662			
0195.00	2923.662			
0196.00	2923.661			
0197.00	2923.673			
0198.00	2923.682			
0199.00	2923.684			
0200.00	2923.687			
0201.00	2923.689			
0202.00	2923.691			
0203.00	2923.693			
0204.00	2923.695			
0205.00	2923.695			
0206.00	2923.695			
0207.00	2923.695			
0208.00	2923.695			
0209.00	2923.695			
0210.00	2923.695			
0211.00	2923.695			
0212.00	2923.695			
0213.00	2923.695			
0214.00	2923.695			
0215.00	2923.696			
0216.00	2923.697			
0217.00	2923.703			
0218.00	2923.708			
0219.00	2923.714			
0220.00	2923.720			
0221.00	2923.725			
0222.00	2923.731			
0223.00	2923.736			
0224.00	2923.742			
0225.00	2923.748			
0226.00	2923.753			
0227.00	2923.759			
0228.00	2923.764			
0229.00	2923.770			
0230.00	2923.776			
0231.00	2923.762			
0232.00	2923.765			
0233.00	2923.768			
0234.00	2923.771			
0235.00	2923.774			
0236.00	2923.777			
0237.00	2923.780			
0238.00	2923.783			
0239.00	2923.786			
0240.00	2923.789			
0241.00	2923.792			
0242.00	2923.795			
0243.00	2923.798			
0244.00	2923.801			
0245.00	2923.804			
0246.00	2923.807			
0247.00	2923.810			
0248.00	2923.813			
0249.00	2923.817			
0250.00	2923.820			
0251.00	2923.823			
0252.00	2923.826			
0253.00	2923.829			
0254.00	2923.832			
0255.00	2923.835			
0256.00	2923.838			
0257.00	2923.841			
0258.00	2923.845			
0259.00	2923.848			
0260.00	2923.851			
0261.00	2923.854			
0262.00	2923.859			
0263.00	2923.863			
0264.00	2923.867			
0265.00	2923.870			
0266.00	2923.873			
0267.00	2923.876			
0268.00	2923.878			
0269.00	2923.881			
0270.00	2923.884			
0271.00	2923.887			
0272.00	2923.890			
0273.00	2923.892			
0274.00	2923.895			
0275.00	2923.898			
0276.00	2923.901			
0277.00	2923.904			
0278.00	2923.907			
0279.00	2923.910			
0280.00	2923.912			
0281.00	2923.915			
0282.00	2923.918			
0283.00	2923.921			
0284.00	2923.924			
0285.00	2923.929			
0286.00	2923.933			
0287.00	2923.935			
0288.00	2923.939			
0289.00	2923.943			
0290.00	2923.947			
0291.00	2923.951			
0292.00	2923.956			
0293.00	2923.960			
0294.00	2923.964			
0295.00	2923.974			
0296.00	2923.979			
0297.00	2923.979			
0298.00	2923.977			
0299.00	2923.972			
0300.00	2923.971			
0301.00	2923.972			
0302.00	2923.973			
0303.00	2923.975			
0304.00	2923.977			
0305.00	2923.978			
0306.00	2923.978			
0307.00	2923.981			
0308.00	2923.983			
0309.00	2923.984			
0310.00	2923.986			
0311.00	2923.987			
0312.00	2923.990			
0313.00	2923.993			
0314.00	2923.996			
0315.00	2923.999			
0316.00	2924.002			
0317.00	2924.005			
0318.00	2924.010			
0319.00	2924.011			
0320.00	2924.013			
0321.00	2924.016			
0322.00	2924.019			
0323.00	2924.021			
0324.00	2924.024			
0325.00	2924.026			
0326.00	2924.029			
0327.00	2924.032			
0328.00	2924.034			
0329.00	2924.035			
0330.00	2924.037			
0331.00	2924.041			
0332.00	2924.045			
0333.00	2924.049			
0334.00	2924.052			
0335.00	2924.055			
0336.00	2924.059			
0337.00	2924.067			
0338.00	2924.075			
0339.00	2924.083			
0340.00	2924.090			
0341.00	2924.089			
0342.00	2924.091			
0343.00	2924.094			
0344.00	2924.099			
0345.00	2924.108			
0346.00	2924.109			
0347.00	2924.110			
0348.00	2924.112			
0349.00	2924.113			
0350.00	2924.114			
0351.00	2924.116			
0352.00	2924.117			
0353.00	2924.118			
0354.00	2924.120			
0355.00	2924.123			
0356.00	2924.128			
0357.00	2924.133			
0358.00	2924.133			
0359.00	2924.135			
0360.00	2924.150			
0361.00	2924.155			
0362.00	2924.163			
0363.00	2924.168			
0364.00	2924.172			
0365.00	2924.176			
0366.00	2924.181			
0367.00	2924.185			
0368.00	2924.189			
0369.00	2924.194			
0370.00	2924.198			
0371.00	2924.203			
0372.00	2924.207			
0373.00	2924.211			
0374.00	2924.216			
0375.00	2924.220			
0376.00	2924.225			
0377.00	2924.229			
0378.00	2924.234			
0379.00	2924.238			
0380.00	2924.242			
0381.00	2924.247			
0382.00	2924.251			
0383.00	2924.256			
0384.00	2924.260			
0385.00	2924.265			
0386.00	2924.269			
0387.00	2924.273			
0388.00	2924.278			
0389.00	2924.282			
0390.00	2924.287			
0391.00	2924.291			
0392.00	2924.297			
0393.00	2924.302			
0394.00	2924.308			
0395.00	2924.314			
0396.00	2924.320			
0397.00	2924.326			
0398.00	2924.331			
0399.00	2924.337			
0400.00	2924.343			
0401.00	2924.349			
0402.00	2924.355			
0403.00	2924.360			
0404.00	2924.366			
0405.00	2924.372			
0406.00	2924.343			
0407.00	2924.347			
0408.00	2924.351			
0409.00	2924.355			
0410.00	2924.359			
0411.00	2924.362			
0412.00	2924.366			
0413.00	2924.370			
0414.00	2924.374			
0415.00	2924.379			
0416.00	2924.383			
0417.00	2924.387			
0418.00	2924.391			
0419.00	2924.395			
0420.00	2924.399			
0421.00	2924.404			
0422.00	2924.408			
0423.00	2924.412			
0424.00	2924.416			
0425.00	2924.420			
0426.00	2924.425			
0427.00	2924.429			
0428.00	2924.433			
0429.00	2924.437			
0430.00	2924.441			
0431.00	2924.445			
0432.00	2924.450			
0433.00	2924.454			
0434.00	2924.458			
0435.00	2924.462			
0436.00	2924.466			
0437.00	2924.470			
0438.00	2924.474			
0439.00	2924.478			
0440.00	2924.482			
0441.00	2924.487			
0442.00	2924.491			
0443.00	2924.495			
0444.00	2924.499			
0445.00	2924.503			
0446.00	2924.507			
0447.00	2924.511			
0448.00	2924.515			
0449.00	2924.519			
0450.00	2924.523			
0451.00	2924.528			
0452.00	2924.532			
0453.00	2924.536			
0454.00	2924.540			
0455.00	2924.544			
0456.00	2924.548			
0457.00	2924.552			
0458.00	2924.556			
0459.00	2924.561			
0460.00	2924.548			
0461.00	2924.552			
0462.00	2924.556			
0463.00	2924.560			
0464.00	2924.564			
0465.00	2924.568			
0466.00	2924.572			
0467.00	2924.576			
0468.00	2924.580			
0469.00	2924.584			
0470.00	2924.588			
0471.00	2924.592			
0472.00	2924.596			
0473.00	2924.600			
0474.00	2924.604			
0475.00	2924.608			
0476.00	2924.612			
0477.00	2924.616			
0478.00	2924.620			
0479.00	2924.624			
0480.00	2924.628			
0481.00	2924.632			
0482.00	2924.636			
0483.00	2924.640			
0484.00	2924.644			
0485.00	2924.648			
0486.00	2924.652			
0487.00	2924.656			
0488.00	2924.661			
0489.00	2924.668			
0490.00	2924.674			
0491.00	2924.679			
0492.00	2924.683			
0493.00	2924.688			
0494.00	2924.692			
0495.00	2924.696			
0496.00	2924.700			
0497.00	2924.705			
0498.00	2924.709			
0499.00	2924.713			
0500.00	2924.717			
0501.00	2924.722			
0502.00	2924.726			
0503.00	2924.730			
0504.00	2924.735			
0505.00	2924.739			
0506.00	2924.743			
0507.00	2924.747			
0508.00	2924.752			
0509.00	2924.756			
0510.00	2924.750			
0511.00	2924.754			
0512.00	2924.757			
0513.00	2924.761			
0514.00	2924.765			
0515.00	2924.768			
0516.00	2924.772			
0517.00	2924.776			
0518.00	2924.779			
0519.00	2924.783			
0520.00	2924.787			
0521.00	2924.790			
0522.00	2924.794			
0523.00	2924.797			
0524.00	2924.801			
0525.00	2924.802			
0526.00	2924.802			
0527.00	2924.803			
0528.00	2924.805			
0529.00	2924.809			
0530.00	2924.812			
0531.00	2924.815			
0532.00	2924.818			
0533.00	2924.821			
0534.00	2924.824			
0535.00	2924.827			
0536.00	2924.830			
0537.00	2924.834			
0538.00	2924.837			
0539.00	2924.840			
0540.00	2924.843			
0541.00	2924.846			
0542.00	2924.849			
0543.00	2924.852			
0544.00	2924.855			
0545.00	2924.856			
0546.00	2924.858			
0547.00	2924.861			
0548.00	2924.863			
0549.00	2924.866			
0550.00	2924.868			
0551.00	2924.871			
0552.00	2924.873			
0553.00	2924.876			
0554.00	2924.878			
0555.00	2924.881			
0556.00	2924.883			
0557.00	2924.886			
0558.00	2924.888			
0559.00	2924.891			
0560.00	2924.893			
0561.00	2924.896			
0562.00	2924.945			
0563.00	2924.943			
0564.00	2924.948			
0565.00	2924.952			
